			Latitude	Longitude	
City			'	'			Time
Aberdeen, Scotland	57.1499 N	2.0938 W	5:00 p.m.
Nagasaki, Japan		32.7503 N	129.8779 E	2:00 a.m.1
Nagoya, Japan		35.1815 N	136.9066 E	2:00 a.m.1
Nairobi, Kenya		1.2921 S	36.8219 E	8:00 p.m.
Nanjing (Nanking), China	32.0584 N	118.7965 E	 1:00 a.m.1
Naples, Italy		40.8518 N	14.2681 E	6:00 p.m.
New Delhi, India	28.6139 N	77.2090 E	10:30 p.m.
Newcastle-on-Tyne, England	54.9783 N	1.6178 W	5:00 p.m.
Odessa, Ukraine		46.4825 N	30.7233 E	7:00 p.m.
Osaka, Japan		34.6937 N	135.5023 E	2:00 a.m.1
Oslo, Norway		59.9139 N	10.7522 E	6:00 p.m.
Panama City, Panama	8.9824 N 	79.5199 W	12:00 noon
Paramaribo, Suriname	5.8520 N	55.2038 W	2:00 p.m.
Paris, France		48.8566 N	2.3522 E	6:00 p.m.
Perth, Australia	31.9523 S	115.8613 E	1:00 a.m.1
Plymouth, England	50.3755 N	4.1427 W	5:00 p.m.
Port Moresby, Papua New Guinea		9.4438 S	147.1803 E	3:00 a.m.1
Prague, Czech Republic	50.0755 N	14.4378 E	6:00 p.m.
Rangoon(Yangon), Myanmar	16.8409 N	96.1735 E	11:30 p.m.
Reykjavk, Iceland	64.1466 N	21.9426 W	5:00 p.m.
Rio de Janeiro, Brazil	22.9068 S	43.1729 W	2:00 p.m.
Rome, Italy		41.9028 N	12.4964 E	6:00 p.m.
Salvador, Brazil	12.9777 S	38.5016 W	2:00 p.m.
Santiago, Chile		33.4489 S	70.6693 W	1:00 p.m.
St. Petersburg, Russia	59.9311 N	30.3609 E	8:00 p.m.
Sao Paulo, Brazil	23.5558 S	46.6396 W	2:00 p.m.
Shanghai, China		31.2304 N	121.4737 E	1:00 a.m.1
Singapore, Singapore	1.3521 N	103.8198 E	1:00 a.m.1
Sofia, Bulgaria		42.6977 N	23.3219 E	7:00 p.m.
Stockholm, Sweden	59.3293 N	18.0686 E	6:00 p.m.
Sydney, Australia	34.8688 S	151.2093 E	3:00 a.m.1
Tananarive(Antananarivo), Madagascar	18.8792 S	47.5079 E	8:00 p.m.
Tehran, Iran		35.6892 N	51.3890 E	8:30 p.m.
Tokyo, Japan		35.6762 N	139.6503 E	2:00 a.m.1
Tripoli, Libya		32.8872 N	13.1913 E	7:00 p.m.
Venice, Italy		45.4408 N	12.3155 E	6:00 p.m.
Veracruz, Mexico	19.1738 N	96.1342 W	11:00 a.m.
Vienna, Austria		48.2082 N	16.3738 E	6:00 p.m.
Vladivostok, Russia	43.1332 N	131.9113 E	3:00 a.m.1
Warsaw, Poland		52.2297 N	21.0122 E	6:00 p.m.
Wellington, New Zealand	41.2924 S	174.7787 E	5:00 a.m.1
Zurich, Switzerland	47.3769 N	8.5417 E	6:00 p.m.
